open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678924800000,74.090,74.630,73.520,73.550,8609,1678928399999,1161.94305480,443,4251,573.61586664,0
1678928400000,73.750,74.210,73.220,74.010,13149,1678931999999,1780.72491372,550,5882,796.72067994,0
1678932000000,73.920,74.900,73.850,74.810,7749,1678935599999,1039.91063678,284,5603,751.90744507,0
1678935600000,74.920,75.050,74.160,74.520,4983,1678939199999,669.12297644,253,2045,274.44604894,0
1678939200000,74.560,74.640,73.430,73.800,11012,1678942799999,1482.86809433,412,3469,467.75294196,0
1678942800000,73.810,74.620,73.490,74.400,7444,1678946399999,1003.30371200,347,2584,348.71870208,0
1678946400000,74.360,74.750,73.950,74.420,10392,1678949999999,1397.90892194,413,5258,706.99022156,0
1678950000000,74.380,75.170,74.290,74.560,10130,1678953599999,1355.41538952,471,5094,681.58618940,0
1678953600000,74.640,74.840,74.250,74.700,8118,1678957199999,1089.11912507,329,4118,552.65637605,0
1678957200000,74.700,75.180,73.600,74.770,7184,1678960799999,965.08870982,338,3375,453.19145133,0
1678960800000,74.760,75.560,74.270,75.180,11524,1678964399999,1536.57012113,498,5458,728.21331321,0
1678964400000,75.110,75.470,74.770,75.260,9785,1678967999999,1302.03369556,398,4918,654.22122436,0
1678968000000,75.200,75.270,73.860,74.150,10439,1678971599999,1399.13583439,480,5575,747.51250024,0
1678971600000,74.300,74.980,73.390,74.890,12906,1678975199999,1741.10483031,550,5769,778.63355671,0
1678975200000,74.930,75.600,74.080,75.120,18690,1678978799999,2489.49183091,632,10746,1431.45708320,0
1678978800000,75.140,75.370,74.600,75.230,8760,1678982399999,1168.57498759,458,3837,511.74914304,0
1678982400000,75.160,75.490,74.700,75.240,8217,1678985999999,1093.90356226,455,4076,542.68464088,0
1678986000000,75.230,75.370,74.720,74.800,6860,1678989599999,915.54411842,357,3622,483.42630722,0
1678989600000,74.830,74.970,74.300,74.970,3607,1678993199999,482.99481109,206,1792,240.14237063,0
1678993200000,74.890,75.760,74.790,75.020,9537,1678996799999,1267.20693915,478,5138,682.91865239,0
1678996800000,74.970,75.060,73.640,73.840,6344,1679000399999,852.27909118,328,2591,347.76367898,0
1679000400000,73.840,74.900,73.840,74.360,4456,1679003999999,599.04925141,150,2753,370.31940148,0
1679004000000,74.330,74.910,74.230,74.640,3297,1679007599999,441.84183387,192,1667,223.35990558,0
1679007600000,74.700,75.290,74.550,74.950,4933,1679011199999,659.48592996,255,2776,371.42172122,0
